iter	Passed	Remaining
1128	6712	5178
1129	6718	5172
1130	6723	5165
1131	6729	5159
1132	6734	5153
1133	6739	5147
1134	6745	5140
1135	6751	5134
1136	6756	5128
1137	6762	5122
1138	6768	5116
1139	6773	5109
1140	6778	5103
1141	6784	5097
1142	6790	5091
1143	6795	5084
1144	6801	5078
1145	6806	5072
1146	6812	5066
1147	6818	5060
1148	6823	5054
1149	6830	5048
1150	6836	5042
1151	6841	5036
1152	6847	5030
1153	6853	5023
1154	6858	5017
1155	6864	5011
1156	6870	5005
1157	6875	4999
1158	6881	4993
1159	6887	4987
1160	6893	4981
1161	6899	4975
1162	6905	4969
1163	6911	4963
1164	6917	4957
1165	6922	4951
1166	6928	4945
1167	6933	4939
1168	6939	4933
1169	6945	4927
1170	6951	4921
1171	6957	4915
1172	6962	4908
1173	6967	4902
1174	6973	4896
1175	6979	4890
1176	6984	4883
1177	6989	4877
1178	6995	4871
1179	7001	4865
1180	7007	4859
1181	7012	4853
1182	7018	4847
1183	7024	4841
1184	7030	4835
1185	7035	4828
1186	7041	4822
1187	7047	4817
1188	7053	4810
1189	7058	4804
1190	7064	4798
1191	7070	4792
1192	7076	4786
1193	7081	4780
1194	7087	4774
1195	7093	4768
1196	7099	4762
1197	7104	4756
1198	7110	4750
1199	7116	4744
1200	7122	4738
1201	7127	4732
1202	7133	4725
1203	7139	4720
1204	7145	4714
1205	7151	4708
1206	7157	4702
1207	7164	4696
1208	7169	4690
1209	7175	4684
1210	7181	4678
1211	7186	4672
1212	7192	4666
1213	7198	4660
1214	7204	4654
1215	7209	4648
1216	7215	4642
1217	7221	4636
1218	7227	4630
1219	7233	4624
1220	7239	4618
1221	7245	4612
1222	7251	4606
1223	7256	4600
1224	7262	4594
1225	7268	4588
1226	7274	4582
1227	7280	4576
1228	7285	4570
1229	7291	4564
1230	7296	4558
1231	7302	4552
1232	7308	4546
1233	7313	4540
1234	7319	4534
1235	7326	4528
1236	7331	4522
1237	7337	4516
1238	7342	4510
1239	7348	4503
1240	7354	4497
1241	7360	4491
1242	7365	4485
1243	7371	4479
1244	7376	4473
1245	7382	4467
1246	7388	4461
1247	7393	4455
1248	7399	4449
1249	7404	4442
1250	7410	4436
1251	7416	4430
1252	7421	4424
1253	7427	4418
1254	7432	4412
1255	7438	4406
1256	7444	4400
1257	7450	4394
1258	7455	4388
1259	7462	4382
1260	7467	4376
1261	7474	4371
1262	7480	4364
1263	7486	4359
1264	7491	4353
1265	7497	4346
1266	7503	4340
1267	7508	4334
1268	7514	4328
1269	7520	4322
1270	7526	4316
1271	7531	4310
1272	7537	4304
1273	7543	4298
1274	7549	4292
1275	7555	4286
1276	7560	4280
1277	7566	4274
1278	7572	4268
1279	7578	4262
1280	7584	4256
1281	7590	4251
1282	7597	4245
1283	7603	4239
1284	7609	4233
1285	7614	4227
1286	7620	4221
1287	7626	4215
1288	7631	4209
1289	7637	4203
1290	7643	4197
1291	7648	4191
1292	7654	4185
1293	7659	4179
1294	7665	4172
1295	7671	4167
1296	7676	4160
1297	7682	4154
1298	7687	4148
1299	7693	4142
1300	7698	4136
1301	7704	4130
1302	7710	4124
1303	7716	4118
1304	7721	4112
1305	7727	4106
1306	7732	4100
1307	7738	4094
1308	7744	4087
1309	7749	4082
1310	7755	4075
1311	7761	4069
1312	7766	4063
1313	7772	4057
1314	7778	4051
1315	7784	4046
1316	7790	4040
1317	7796	4034
1318	7801	4028
1319	7807	4021
1320	7813	4015
1321	7818	4009
1322	7823	4003
1323	7829	3997
1324	7835	3991
1325	7840	3985
1326	7846	3979
1327	7852	3973
1328	7857	3967
1329	7863	3961
1330	7869	3955
1331	7874	3949
1332	7880	3943
1333	7886	3937
1334	7892	3931
1335	7898	3925
1336	7903	3919
1337	7909	3913
1338	7915	3907
1339	7921	3901
1340	7926	3895
1341	7932	3889
1342	7938	3883
1343	7943	3877
1344	7949	3871
1345	7954	3865
1346	7960	3859
1347	7966	3853
1348	7971	3846
1349	7977	3840
1350	7983	3835
1351	7989	3829
1352	7995	3823
1353	8001	3817
1354	8006	3811
1355	8012	3805
1356	8018	3799
1357	8024	3793
1358	8030	3787
1359	8035	3781
1360	8041	3775
1361	8047	3769
1362	8053	3763
1363	8059	3757
1364	8064	3751
1365	8070	3745
1366	8076	3739
1367	8081	3733
1368	8087	3727
1369	8094	3722
1370	8100	3716
1371	8105	3710
1372	8111	3704
1373	8117	3698
1374	8123	3692
1375	8129	3686
1376	8134	3680
1377	8141	3674
1378	8146	3668
1379	8152	3662
1380	8157	3656
1381	8164	3650
1382	8169	3644
1383	8175	3638
1384	8181	3632
1385	8186	3626
1386	8192	3620
1387	8198	3614
1388	8203	3608
1389	8209	3602
1390	8215	3596
1391	8220	3590
1392	8226	3584
1393	8231	3578
1394	8237	3572
1395	8243	3566
1396	8249	3560
1397	8254	3554
1398	8260	3548
1399	8265	3542
1400	8271	3536
1401	8276	3530
1402	8282	3524
1403	8287	3518
1404	8293	3512
1405	8299	3506
1406	8305	3500
1407	8311	3494
1408	8316	3488
1409	8322	3482
1410	8327	3476
1411	8333	3470
1412	8339	3464
1413	8344	3458
1414	8349	3452
1415	8355	3446
1416	8361	3440
1417	8367	3434
1418	8373	3428
1419	8379	3422
1420	8385	3416
1421	8391	3410
1422	8396	3404
1423	8402	3398
1424	8408	3392
1425	8414	3386
1426	8419	3380
1427	8425	3375
1428	8431	3369
1429	8437	3363
1430	8442	3357
1431	8447	3350
1432	8453	3344
1433	8459	3338
1434	8465	3332
1435	8471	3327
1436	8477	3321
1437	8482	3315
1438	8488	3309
1439	8494	3303
1440	8500	3297
1441	8505	3291
1442	8511	3285
1443	8517	3279
1444	8523	3273
1445	8528	3267
1446	8534	3261
1447	8539	3255
1448	8545	3249
1449	8550	3243
1450	8556	3237
1451	8561	3231
1452	8567	3225
1453	8573	3219
1454	8578	3213
1455	8584	3207
1456	8590	3201
1457	8596	3195
1458	8602	3189
1459	8607	3183
1460	8613	3177
1461	8618	3171
1462	8624	3165
1463	8630	3159
1464	8635	3153
1465	8641	3147
1466	8647	3141
1467	8652	3135
1468	8658	3129
1469	8663	3123
1470	8669	3117
1471	8675	3111
1472	8681	3105
1473	8687	3100
1474	8692	3093
1475	8698	3088
1476	8704	3082
1477	8709	3076
1478	8715	3070
